Date;Source IP;Destination IP;Protocole;Port de destination;Action;ID de règle;Interface entrante;Interface sortante
2024-11-01 08:23:12;192.168.1.10;8.8.8.8;UDP;53;Permit;1;eth0;eth1
2024-11-01 08:25:45;10.0.0.5;192.168.1.10;TCP;22;Deny;2;eth1;eth0
2024-11-01 08:27:30;172.16.0.2;192.168.1.10;TCP;80;Permit;3;eth2;eth0
2024-11-01 08:30:15;192.168.1.20;192.168.1.10;UDP;123;Permit;4;eth0;eth1
2024-11-01 08:35:50;192.168.1.30;192.168.1.10;TCP;443;Deny;5;eth2;eth0
2024-11-02 09:10:20;192.168.1.40;192.168.1.10;ICMP;;Permit;6;eth1;eth0
2024-11-02 09:15:30;192.168.1.50;192.168.1.10;TCP;8080;Permit;7;eth0;eth2
2024-11-02 09:20:40;192.168.1.60;192.168.1.10;UDP;69;Deny;8;eth2;eth0
2024-11-02 09:25:50;192.168.1.70;192.168.1.10;TCP;445;Permit;9;eth0;eth1
2024-11-03 10:05:15;192.168.1.80;192.168.1.10;TCP;3389;Deny;10;eth1;eth0
2024-11-03 10:10:25;192.168.1.90;192.168.1.10;UDP;514;Permit;11;eth0;eth2
2024-11-03 10:15:35;192.168.1.100;192.168.1.10;TCP;8080;Permit;12;eth2;eth0
2024-11-03 10:20:45;192.168.1.110;192.168.1.10;UDP;123;Deny;13;eth0;eth1
2024-11-03 10:25:55;192.168.1.120;192.168.1.10;TCP;443;Permit;14;eth1;eth0
2024-11-04 11:10:30;192.168.1.130;192.168.1.10;UDP;69;Permit;15;eth0;eth2
2024-11-04 11:15:40;192.168.1.140;192.168.1.10;TCP;22;Deny;16;eth2;eth0
2024-11-04 11:20:50;192.168.1.150;192.168.1.10;UDP;161;Permit;17;eth0;eth1
2024-11-04 11:25:00;192.168.1.160;192.168.1.10;TCP;80;Permit;18;eth1;eth0
2024-11-04 11:30:10;192.168.1.170;192.168.1.10;UDP;514;Deny;19;eth0;eth2
2024-11-05 12:10:35;192.168.1.180;192.168.1.10;TCP;8080;Permit;20;eth2;eth0
2024-11-05 12:15:45;192.168.1.190;192.168.1.10;UDP;161;Permit;21;eth0;eth1
2024-11-05 12:20:55;192.168.1.200;192.168.1.10;TCP;443;Deny;22;eth1;eth0
2024-11-05 12:25:05;192.168.1.210;192.168.1.10;UDP;123;Permit;23;eth0;eth2
2024-11-05 12:30:15;192.168.1.220;192.168.1.10;TCP;22;Permit;24;eth2;eth0
2024-11-06 13:10:40;192.168.1.230;192.168.1.10;TCP;3389;Deny;25;eth0;eth1
2024-11-06 13:15:50;192.168.1.240;192.168.1.10;UDP;69;Permit;26;eth1;eth0
2024-11-06 13:20:00;192.168.1.250;192.168.1.10;TCP;8080;Permit;27;eth0;eth2
